,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,OPR_INTERVAL,GROUP
47,2024-01-01T15:15:00-00:00,2024-01-01T15:30:00-00:00,2024-01-01,8,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,35.40186,2,5
48,2024-01-01T16:15:00-00:00,2024-01-01T16:30:00-00:00,2024-01-01,9,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,21.46077,2,5
49,2024-01-01T17:15:00-00:00,2024-01-01T17:30:00-00:00,2024-01-01,10,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,24.72887,2,5
50,2024-01-01T18:15:00-00:00,2024-01-01T18:30:00-00:00,2024-01-01,11,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,24.81511,2,5
51,2024-01-01T19:15:00-00:00,2024-01-01T19:30:00-00:00,2024-01-01,12,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,24.16088,2,5
52,2024-01-01T20:15:00-00:00,2024-01-01T20:30:00-00:00,2024-01-01,13,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,15.75512,2,5
53,2024-01-01T21:15:00-00:00,2024-01-01T21:30:00-00:00,2024-01-01,14,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,9.26087,2,5
54,2024-01-01T22:15:00-00:00,2024-01-01T22:30:00-00:00,2024-01-01,15,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,14.3764,2,5
55,2024-01-01T23:15:00-00:00,2024-01-01T23:30:00-00:00,2024-01-01,16,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,33.28778,2,5
56,2024-01-02T00:15:00-00:00,2024-01-02T00:30:00-00:00,2024-01-01,17,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,37.75407,2,5
57,2024-01-02T01:15:00-00:00,2024-01-02T01:30:00-00:00,2024-01-01,18,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,50.99702,2,5
58,2024-01-02T02:15:00-00:00,2024-01-02T02:30:00-00:00,2024-01-01,19,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,51.87284,2,5
59,2024-01-02T03:15:00-00:00,2024-01-02T03:30:00-00:00,2024-01-01,20,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,46.6168,2,5
60,2024-01-02T04:15:00-00:00,2024-01-02T04:30:00-00:00,2024-01-01,21,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,48.17261,2,5
61,2024-01-02T05:15:00-00:00,2024-01-02T05:30:00-00:00,2024-01-01,22,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,45.91819,2,5
62,2024-01-02T06:15:00-00:00,2024-01-02T06:30:00-00:00,2024-01-01,23,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,43.0977,2,5
63,2024-01-02T07:15:00-00:00,2024-01-02T07:30:00-00:00,2024-01-01,24,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,36.90643,2,5
64,2024-01-01T08:30:00-00:00,2024-01-01T08:45:00-00:00,2024-01-01,1,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,40.35157,3,5
